GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
W19_colours_numbers_B,Other smoked tobacco packaging and labelling must not use figurative or other signs including colors or numbers as substitutes for prohibited misleading terms and descriptors,,2022,2022,2022,EMR,Eastern Mediterranean,SDN,Sudan,,,,,No,,
CHILDDEATH5TO14,Number of deaths among children 5 to 14 years of age,,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,5232.0,5232 [4131-6688],4131.0,6688.0
CHILDMORT10TO19,Adolescent mortality rate (per 1 000 age specific cohort),,1996,1996,1996,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_FMLE,Female,6.17275,6.17 [1.79-12.49],1.78875,12.49387
TOB_R_PRICE,Retail price for tobacco and nicotine products,,2022,2022,2022,EMR,Eastern Mediterranean,SDN,Sudan,TOBACCO_NICOTINE_PRODUCT,TOBACCO_NICOTINE_PRODUCT_TOBACCO_HEATED_HTP_MOSTSOLD,Most sold brand of heated tobacco products (20 sticks),,,,
tfr,Total fertility rate (per woman),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201007,gezira,4.63579,4.6 [4.1-5.3],4.07232,5.27681
sevwast5,Severe wasting prevalence in children aged < 5 years (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201009,sinnar,,No data,,
SA_0000001502,Adopted written national policy on alcohol,,2016,2016,2016,EMR,Eastern Mediterranean,SDN,Sudan,,,,,Total ban,,
csection,Births by caesarean section (in the two or three years preceding the survey) (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201418,east darfur,0.96555,1.0 [0.4-2.5],0.3669,2.51626
CHILDMORT10TO19,Adolescent mortality rate (per 1 000 age specific cohort),,1996,1996,1996,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_BTSX,Both sexes,23.61453,23.61 [17.57-31.61],17.56812,31.6084
cpmt,Contraceptive prevalence - modern and traditional methods (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,AGEGROUP,AGEGROUP_YEARS20-49,20-49 years,13.20258,13.2 [12.0-14.5],12.03635,14.46323
NCD_HYP_CONTROL_A,"Prevalence of controlled hypertension among adults aged 30-79 years with hypertension, age-standardized",,2009,2009,2009,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_FMLE,Female,4.3,4.3 [1.3-9.6],1.3,9.6
vpolio,Polio immunization coverage among one-year-olds (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201012,south kordofan,58.98176,59.0 [49.7-67.6],49.74077,67.62941
E6b_ban_display_pt_of_sale,Ban on display of tobacco products at points of sale,,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,,,,,No,,
W8_princ_langs_C,Are the health warnings on smokeless tobacco packaging written in the principal language(s) of the country?,,2012,2012,2012,EMR,Eastern Mediterranean,SDN,Sudan,,,,,Yes,,
BP_05,Mean systolic blood pressure (crude estimate),,1980,1980,1980,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,127.9,127.9 [118.3-137.5],118.3,137.5
WHS4_111,Antenatal care coverage - at least one visit (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,,,,74.3,74.3,,
itnwm,Pregnant women sleeping under insecticide-treated nets (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,AGEGROUP,AGEGROUP_YEARS15-19,15-19 years of age,,No data,,
sevwast5,Severe wasting prevalence in children aged < 5 years (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201002,river nile,,No data,,
cpmt,Contraceptive prevalence - modern and traditional methods (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE04,Decile 4,2.80438,2.8 [2.0-3.9],1.98891,3.94074
vita,Children aged 6-59 months who received vitamin A supplementation (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,EDUCATIONLEVEL,EDUCATIONLEVEL_SHLM,Secondary or higher,83.01871,83.0 [80.2-85.5],80.21002,85.50084
imr,Infant mortality rate (deaths per 1000 live births),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,EDUCATIONLEVEL,EDUCATIONLEVEL_SHLM,Secondary or higher,39.31205,39.3 [28.4-50.3],28.36968,50.25442
csection5,Births by caesarean section (in the five years preceding the survey) (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,EDUCATIONLEVEL,EDUCATIONLEVEL_SHLM,Secondary or higher,,No data,,
R_tax_other,Taxes as a % of price: other taxes,,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,TOBACCO_NICOTINE_PRODUCT,TOBACCO_NICOTINE_PRODUCT_CIGARETTE_MOSTSOLD,Most sold brand of cigarettes (20 sticks),0.0,0,,
itnch,Children aged < 5 years sleeping under insecticide-treated nets (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201409,sinnar,,No data,,
vpolio,Polio immunization coverage among one-year-olds (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201417,central darfur,50.48127,50.5 [42.0-59.0],41.96264,58.97205
CHILDMORT10TO19,Adolescent mortality rate (per 1 000 age specific cohort),,2001,2001,2001,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_BTSX,Both sexes,20.87438,20.87 [15.84-26.88],15.83553,26.88449
vzdpt,One-year-old children who have not received any doses of the DTP vaccine (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201413,west kordofan,33.93835,33.9 [19.2-52.6],19.24363,52.55207
fpsmowho,Demand for family planning satisfied - use of modern methods (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201415,west darfur,16.71836,16.7 [9.4-28.1],9.36038,28.06913
ors,Children aged < 5 years with diarrhoea receiving oral rehydration salts (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,EDUCATIONLEVEL,EDUCATIONLEVEL_NHLM,None,19.25799,19.3 [16.4-22.5],16.4237,22.45002
NCD_BMI_MEAN,Mean BMI (kg/m²) (age-standardized estimate),,2007,2007,2007,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_FMLE,Female,,No data,,
vpolio,Polio immunization coverage among one-year-olds (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHQUINTILE,WEALTHQUINTILE_WQ2,Q2,65.93995,65.9 [59.3-72.0],59.31959,71.99162
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),,1991,1991,1991,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,,No data,,
E13_compliance,Compliance of ban on appearance of tobacco brands in TV and/or films (product placement),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,,,,,Not available,,
CHOLERA_0000000001,Number of reported cases of cholera,,2009,2009,2009,EMR,Eastern Mediterranean,SDN,Sudan,,,,,13681,,
TB_c_lab_dst_5m,Laboratories providing drug susceptibility testing (DST) (per 5 million population),,2009,2009,2009,EMR,Eastern Mediterranean,SDN,Sudan,,,,0.1,0.1,,
bmi30wm,"Obesity prevalence in non-pregnant women aged 15-49 years, BMI >= 30 (%)",,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHQUINTILE,WEALTHQUINTILE_WQ1,Q1 (Poorest),,No data,,
IR_INSECTICIDERESISTANCE_PREV,Number of insecticide classes to which resistance was reported,,2000,2000,2000,EMR,Eastern Mediterranean,SDN,Sudan,,,,0.0,0,,
anc15,Antenatal care coverage - at least one visit (in the five years preceding the survey) (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201005,gadarif,,No data,,
CHILDMORT10TO19,Adolescent mortality rate (per 1 000 age specific cohort),,2007,2007,2007,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_BTSX,Both sexes,4.13634,4.14 [1.09-7.41],1.09447,7.40873
WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),,2018,2018,2018,EMR,Eastern Mediterranean,SDN,Sudan,,,,93.0,93,,
CHILDMORT10TO19,Adolescent mortality rate (per 1 000 age specific cohort),,2019,2019,2019,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,3.50426,3.5 [0.59-9.03],0.58693,9.02981
SA_0000001534,On-premise sales restrictions on outlet density,,2016,2016,2016,EMR,Eastern Mediterranean,SDN,Sudan,ALCOHOLTYPE,ALCOHOLTYPE_SA_WINE,Wine,,No data,,
NUT_BF_EVBF,Ever breastfed,,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,HOUSEHOLDWEALTH,HOUSEHOLDWEALTH_WEALTH_BOTTOM40,Wealth - Bottom 40%,98.3,98.3 [97.3-98.9],97.3,98.9
SA_0000001523_ARCHIVED,"Prices for alcoholic beverages (average, US$)",,2012,2012,2012,EMR,Eastern Mediterranean,SDN,Sudan,BEVERAGETYPE,BEVERAGETYPE_SA_750_POPULAR_IMPORTED_SPIRITS,750 mls most popular imported spirits,,,,
NTD_LEPR3,Leprosy - Number of cases registered for treatment,,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,,,,451.0,451,,
R_Imp_duty,Taxes as a % of price: import duties,,2022,2022,2022,EMR,Eastern Mediterranean,SDN,Sudan,TOBACCO_NICOTINE_PRODUCT,TOBACCO_NICOTINE_PRODUCT_ELIQUID_OPEN_CHEAPEST,Cheapest brand of e-liquid of an open ENDS/ENNDS system (10ml),,,,
CHILDDEATH5TO14,Number of deaths among children 5 to 14 years of age,,1994,1994,1994,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_BTSX,Both sexes,16081.0,16 081 [13 440-20 357],13440.0,20357.0
SA_0000001801,Monopoly on imports of alcoholic beverages,,2019,2019,2019,EMR,Eastern Mediterranean,SDN,Sudan,ALCOHOLTYPE,ALCOHOLTYPE_SA_SPIRITS,Spirits,,,,
NUTRITION_ANAEMIA_PREGNANT_PREV,Prevalence of anaemia in pregnant women (aged 15-49) (%),,2000,2000,2000,EMR,Eastern Mediterranean,SDN,Sudan,SEVERITY,SEVERITY_TOTAL,Total,42.5,42.5 [25.6-55.1],25.6,55.1
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),,2000,2000,2000,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_FMLE,Female,,No data,,
NTD_LEISHVNUM_IM,Number of imported cases of visceral leishmaniasis reported,,2020,2020,2020,EMR,Eastern Mediterranean,SDN,Sudan,,,,,No data,,
anc45,Antenatal care coverage - at least four visits (in the five years preceding the survey) (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE08,Decile 8,,No data,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),,1999,1999,1999,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_BTSX,Both sexes,,No data,,
anc45,Antenatal care coverage - at least four visits (in the five years preceding the survey) (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201402,river nile,,No data,,
IHRSPAR2_C12,Zoonotic diseases,,2021,2021,2021,EMR,Eastern Mediterranean,SDN,Sudan,,,,60.0,60,,
vbcg,BCG immunization coverage among one-year-olds (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201402,river nile,92.77951,92.8 [82.4-97.2],82.40311,97.24202
IR_INSECTICIDERESISTANCE_PREV,Number of insecticide classes to which resistance was reported,,2009,2009,2009,EMR,Eastern Mediterranean,SDN,Sudan,,,,2.0,2,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),,2007,2007,2007,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,,No data,,
NUTRITION_ANAEMIA_PREGNANT_PREV,Prevalence of anaemia in pregnant women (aged 15-49) (%),,2005,2005,2005,EMR,Eastern Mediterranean,SDN,Sudan,SEVERITY,SEVERITY_MODERATE,Moderate,17.8,17.8 [9.5-26.8],9.5,26.8
fpsmowho,Demand for family planning satisfied - use of modern methods (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201403,red sea,35.4066,35.4 [26.3-45.7],26.29746,45.71398
cci,Composite coverage index (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE02,Decile 2,33.50124,33.5 [29.3-38.0],29.25093,38.03709
anc45,Antenatal care coverage - at least four visits (in the five years preceding the survey) (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHQUINTILE,WEALTHQUINTILE_WQ3,Q3,,No data,,
PATIENTSAFETY_COREINDICATORRESPONSE,Patient safety core indicator survey response,,2023,2023,2023,EMR,Eastern Mediterranean,SDN,Sudan,PATIENTSAFETY_SURVEYQUESTION,PATIENTSAFETY_SURVEYQUESTION_PS_TARGETHARMREDUCTION_SET,National target set for reduction in medication-related harm,,No,,
TB_c_lab_cul_5m,Laboratories providing tuberculosis diagnostic services using culture (per 5 million population),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,,,,0.1,0.1,,
vbcg,BCG immunization coverage among one-year-olds (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,76.93385,76.9 [73.6-79.9],73.64365,79.92527
cpmowho,Contraceptive prevalence - use of modern methods (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201417,central darfur,3.1901,3.2 [1.8-5.6],1.80384,5.58117
vpolio,Polio immunization coverage among one-year-olds (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201418,east darfur,59.06239,59.1 [48.8-68.6],48.78433,68.60522
bfearly,Early initiation of breastfeeding (in the two years preceding the survey) (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,AGEGROUP,AGEGROUP_YEARS15-19,15-19 years of age,60.2001,60.2 [56.0-64.2],56.038,64.21975
TB_new_labconf,"New or unknown treatment history cases: Pulmonary, bacteriologically confirmed",,2017,2017,2017,EMR,Eastern Mediterranean,SDN,Sudan,,,,6834.0,6834,,
NCD_HYP_DIAGNOSIS_A,"Prevalence of previous diagnosis of hypertension among adults aged 30-79 with hypertension, age-standardized",,1993,1993,1993,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,13.1,13.1 [4.9-25.8],4.9,25.8
NCD_BMI_MEAN,Mean BMI (kg/m²) (age-standardized estimate),,2008,2008,2008,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_BTSX,Both sexes,,No data,,
BP_06,Mean systolic blood pressure (age-standardized estimate),,2011,2011,2011,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,,No data,,
NUTRITION_ANAEMIA_PREGNANT_PREV,Prevalence of anaemia in pregnant women (aged 15-49) (%),,2006,2006,2006,EMR,Eastern Mediterranean,SDN,Sudan,SEVERITY,SEVERITY_MILD,Mild,21.5,21.5 [13.2-28.4],13.2,28.4
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),,2004,2004,2004,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_FMLE,Female,,No data,,
csection,Births by caesarean section (in the two or three years preceding the survey) (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201014,west darfur,2.62543,2.6 [1.4-5.0],1.36533,4.98968
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),,1994,1994,1994,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,37.73332,37.7 [25.1-51.8],25.06754,51.83751
UHCTRANSFATS,Best-practice policy implemented for industrially produced trans-fatty acids (TFA) (Y/N),,2015,2015,2015,EMR,Eastern Mediterranean,SDN,Sudan,,,,,No data,,
O_Ins_community,Treatment for tobacco dependence in the community cost covered,,2018,2018,2018,EMR,Eastern Mediterranean,SDN,Sudan,,,,,Not applicable,,
SA_0000001400_ARCHIVED,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",,1976,1976,1976,EMR,Eastern Mediterranean,SDN,Sudan,ALCOHOLTYPE,ALCOHOLTYPE_SA_SPIRITS,Spirits,0.08,0.08,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),,1995,1995,1995,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,,No data,,
P2_compliance,Compliance of ban on smoking in EDUCATIONAL FACILITIES EXCEPT UNIVERSITIES,,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,,,,,Not applicable,,
fps,Demand for family planning satisfied - modern and traditional methods (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,EDUCATIONLEVEL,EDUCATIONLEVEL_NHLM,None,8.45383,8.5 [6.8-10.4],6.82829,10.42306
sevwast5,Severe wasting prevalence in children aged < 5 years (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201410,blue nile,,No data,,
NUT_BF_EBF,Exclusive breastfeeding under six months,,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,EDUCATIONLEVEL,EDUCATIONLEVEL_EDUC_NONE_PRIMARY,None and primary education,40.0,40.0 [36.7-43.5],36.7,43.5
NUTRITION_ANAEMIA_PREGNANT_PREV,Prevalence of anaemia in pregnant women (aged 15-49) (%),,2012,2012,2012,EMR,Eastern Mediterranean,SDN,Sudan,SEVERITY,SEVERITY_MODERATE,Moderate,15.9,15.9 [8.2-24.7],8.2,24.7
NUTRITION_ANAEMIA_PREGNANT_PREV,Prevalence of anaemia in pregnant women (aged 15-49) (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,SEVERITY,SEVERITY_SEVERE,Severe,1.0,1.0 [0.1-3.1],0.1,3.1
VIOLENCE_HOMICIDERATE,Estimates of rates of homicides per 100 000 population,,2012,2012,2012,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_FMLE,Female,3.20115,3.2 [1.5-6.1],1.53823,6.11001
wast5,Wasting prevalence in children aged < 5 years (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHQUINTILE,WEALTHQUINTILE_WQ3,Q3,,No data,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),,1989,1989,1989,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_BTSX,Both sexes,,No data,,
NUT_BF_EIBF,"Early Initiation of Breastfeeding, Children born in the last 24 months",,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHQUINTILE,WEALTHQUINTILE_WQ1,Q1 (Poorest),62.1,62.1 [57.0-67.0],57.0,67.0
NUT_BF_EIBF,"Early Initiation of Breastfeeding, Children born in the last 24 months",,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,EDUCATIONLEVEL,EDUCATIONLEVEL_EDUC_NONE_PRIMARY,None and primary education,72.4,72.4 [70.5-74.3],70.5,74.3
SA_0000001400_ARCHIVED,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",,1988,1988,1988,EMR,Eastern Mediterranean,SDN,Sudan,ALCOHOLTYPE,ALCOHOLTYPE_SA_WINE,Wine,0.0,0.00,,
NTD_LEPR3,Leprosy - Number of cases registered for treatment,,2017,2017,2017,EMR,Eastern Mediterranean,SDN,Sudan,,,,1122.0,1122,,
SA_0000001400_ARCHIVED,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",,1980,1980,1980,EMR,Eastern Mediterranean,SDN,Sudan,ALCOHOLTYPE,ALCOHOLTYPE_SA_BEER,Beer,1.39,1.39,,
vdpt,DTP3 immunization coverage among one-year-olds (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE04,Decile 4,63.77047,63.8 [54.0-72.5],53.97391,72.54261
VIOLENCE_HOMICIDENUM,Estimates of number of homicides,,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_BTSX,Both sexes,2400.435,2400 [1820-3304],1820.21,3304.391
CHILDMORT10TO19,Adolescent mortality rate (per 1 000 age specific cohort),,2013,2013,2013,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,13.64718,13.65 [9.58-18.61],9.5774,18.61183
SA_0000001747,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), three-year average",,2003,2003,2003,EMR,Eastern Mediterranean,SDN,Sudan,,,,0.0,0.0 [0.0 - 0.0],0.0,0.0
anc15,Antenatal care coverage - at least one visit (in the five years preceding the survey) (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,EDUCATIONLEVEL,EDUCATIONLEVEL_NHLM,None,,No data,,
NTD_YAWSNUM_SUSP,Number of suspected yaws cases reported,,2011,2011,2011,EMR,Eastern Mediterranean,SDN,Sudan,,,,,No data,,
cpmowho,Contraceptive prevalence - use of modern methods (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201402,river nile,20.7112,20.7 [16.6-25.6],16.56721,25.574
anc15,Antenatal care coverage - at least one visit (in the five years preceding the survey) (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,EDUCATIONLEVEL,EDUCATIONLEVEL_SHLM,Secondary or higher,,No data,,
NCD_HYP_CONTROL_A,"Prevalence of controlled hypertension among adults aged 30-79 years with hypertension, age-standardized",,1993,1993,1993,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_BTSX,Both sexes,1.6,1.6 [0.3-4.8],0.3,4.8
BP_06,Mean systolic blood pressure (age-standardized estimate),,1986,1986,1986,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,,No data,,
UHCTRANSFATS,Best-practice policy implemented for industrially produced trans-fatty acids (TFA) (Y/N),,2009,2009,2009,EMR,Eastern Mediterranean,SDN,Sudan,,,,,No data,,
SA_0000001679,Exports of beer (barley) in 1000s hectolitres,,2003,2003,2003,EMR,Eastern Mediterranean,SDN,Sudan,,,,,0,,
SA_0000001678,Sales of beer in 1000s hectolitres,,2007,2007,2007,EMR,Eastern Mediterranean,SDN,Sudan,,,,,0,,
uwgt5,Underweight prevalence in children aged < 5 years (%) (Health inequality monitor),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,AGEGROUP,AGEGROUP_YEARS02-05,2-5 years,37.82665,37.8 [35.5-40.3],35.4551,40.2579
vita,Children aged 6-59 months who received vitamin A supplementation (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,AGEGROUP,AGEGROUP_YEARS20-49,20-49 years,,No data,,
SA_0000001647_ARCHIVED,Awareness activities,,2012,2012,2012,EMR,Eastern Mediterranean,SDN,Sudan,AWARENESSACTIVITYTYPE,AWARENESSACTIVITYTYPE_SA_ILLEGAL_SURROGATE_ALCOHOL,Illegal/surrogate alcohol,,No,,
E1_compliance,Compliance of ban on advertising on national TV and radio,,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,,,,,Not available,,
RSUD_68,Pharmacotherapy used for the management of alcohol withdrawal,,2008,2008,2008,EMR,Eastern Mediterranean,SDN,Sudan,DRUG,DRUG_CHLORPROMAZINE,Chlorpromazine,,yes,,
BP_05,Mean systolic blood pressure (crude estimate),,1986,1986,1986,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_FMLE,Female,122.5,122.5 [114.1-130.8],114.1,130.8
NUT_CF_MMF,Minimum Meal Frequency 6-23 months,,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,39.7,39.7 [35.6-43.8],35.6,43.8
vfull,Full immunization coverage among one-year-olds (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE06,Decile 6,51.70643,51.7 [43.7-59.6],43.70332,59.62294
vfull,Full immunization coverage among one-year-olds (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHQUINTILE,WEALTHQUINTILE_WQ1,Q1 (Poorest),42.36076,42.4 [36.1-48.9],36.08394,48.8942
W22_emissions_qual_B,Other smoked tobacco packaging and labelling must display qualitative information on relevant constituents and emissions,,2007,2007,2007,EMR,Eastern Mediterranean,SDN,Sudan,,,,,No,,
vpolio,Polio immunization coverage among one-year-olds (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE08,Decile 8,84.29858,84.3 [78.2-88.9],78.21976,88.92113
BP_06,Mean systolic blood pressure (age-standardized estimate),,1979,1979,1979,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,,No data,,
CHILDMORT10TO19,Adolescent mortality rate (per 1 000 age specific cohort),,1990,1990,1990,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,17.92278,17.92 [13.25-23.98],13.24913,23.97587
imr,Infant mortality rate (deaths per 1000 live births),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE08,Decile 8,44.66637,44.7 [32.4-56.9],32.44271,56.89002
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),,2003,2003,2003,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,21.8,21.8 [19.6-23.9],19.6,23.9
cci,Composite coverage index (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201408,white nile,56.5246,56.5 [53.5-59.5],53.51093,59.49081
NCD_BMI_MEAN,Mean BMI (kg/m²) (age-standardized estimate),,1999,1999,1999,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_BTSX,Both sexes,,No data,,
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),,2017,2017,2017,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_BTSX,Both sexes,38.40198,38.4 [32.1-44.8],32.14188,44.78901
vfull,Full immunization coverage among one-year-olds (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,EDUCATIONLEVEL,EDUCATIONLEVEL_SHLM,Secondary or higher,79.32932,79.3 [74.9-83.2],74.86752,83.17699
